Bait	Prey	PreyGene	Intensity	IntensitySum	AvgIntensity	NumReplicates	ctrlIntensity	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	FoldChange	BFDR	boosted_by	PreyGeneID	ctrlIntensitySum	AvgctrlIntensity
MEPCE	gi|89276756|gn|PRPF4B:8899|	PRPF4B	0.339	0.339	0.339	1	.	.	.	.	.	.	-0.113	0.000		8899	0	0
MEPCE	gi|21361576|gn|ZCCHC17:51538|	ZCCHC17	0.414	0.414	0.414	1	0.307	.	.	.	.	.	-0.351	0.000		51538	0.307	0.307
MEPCE	gi|4506209|gn|PSMC2:5701|	PSMC2	0.956	0.956	0.956	1	1.233	.	.	.	.	.	4.565	0.000		5701	1.233	1.233
MEPCE	gi|17978466|gn|CCNT1:904|	CCNT1	2.029	2.029	2.029	1	.	.	.	.	.	.	-0.678	0.000		904	0	0
MEPCE	gi|62414289|gn|VIM:7431|	VIM	1.269	1.269	1.269	1	1.780	.	.	.	.	.	2.201	0.000		7431	1.78	1.78
MEPCE	gi|21735621|gn|MDH2:4191|	MDH2	0.499	0.499	0.499	1	0.582	.	.	.	.	.	-0.920	0.000		4191	0.582	0.582
MEPCE	gi|380692328|gn|DDX56:54606|	DDX56	0.186	0.186	0.186	1	.	.	.	.	.	.	-0.062	0.000		54606	0	0
MEPCE	gi|23110939|gn|PSMA3:5684|	PSMA3	0.677	0.677	0.677	1	0.753	.	.	.	.	.	-2.387	0.000		5684	0.753	0.753
MEPCE	gi|12056465|gn|FBL:2091|	FBL	1.185	1.185	1.185	1	1.167	.	.	.	.	.	7.685	0.000		2091	1.167	1.167
MEPCE	gi|12025678|gn|ACTN4:81|	ACTN4	2.514	2.514	2.514	1	2.729	.	.	.	.	.	2.504	0.000		81	2.729	2.729
MEPCE	gi|50409738|gn|ARL6IP4:51329|	ARL6IP4	3.663	3.663	3.663	1	3.652	.	.	.	.	.	2.828	0.000		51329	3.652	3.652
MEPCE	gi|11225260|gn|TOP1:7150|	TOP1	1.119	1.119	1.119	1	0.894	.	.	.	.	.	-9.998	0.000		7150	0.894	0.894
MEPCE	gi|14591909|gn|RPL5:6125|	RPL5	1.173	1.173	1.173	1	0.501	.	.	.	.	.	-1.695	0.000		6125	0.501	0.501
MEPCE	gi|13027644|gn|SNRPN:6638|	SNRPN	2.407	2.407	2.407	1	1.237	.	.	.	.	.	11.331	0.000		6638	1.237	1.237
MEPCE	gi|4506621|gn|RPL26:6154|	RPL26	1.739	1.739	1.739	1	0.967	.	.	.	.	.	-51.616	0.000		6154	0.967	0.967
MEPCE	gi|4506629|gn|RPL29:6159|	RPL29	1.162	1.162	1.162	1	0.371	.	.	.	.	.	-1.170	0.000		6159	0.371	0.371
MEPCE	gi|24475847|gn|IVNS1ABP:10625|	IVNS1ABP	2.382	2.382	2.382	1	1.717	.	.	.	.	.	4.406	0.000		10625	1.717	1.717
MEPCE	gi|50659095|gn|DDX21:9188|	DDX21	1.401	1.401	1.401	1	0.966	.	.	.	.	.	-40.852	0.000		9188	0.966	0.966
MEPCE	gi|151101404|gn|PTMA:5757|	PTMA	0.661	0.661	0.661	1	0.795	.	.	.	.	.	-2.885	0.000		5757	0.795	0.795
MEPCE	gi|14670350|gn|GTF2I:2969|	GTF2I	3.180	3.180	3.180	1	2.625	.	.	.	.	.	3.295	0.000		2969	2.625	2.625
MEPCE	gi|4503571|gn|ENO1:2023|	ENO1	3.113	3.113	3.113	1	3.635	.	.	.	.	.	2.412	0.000		2023	3.635	3.635
MEPCE	gi|124256496|gn|HSPA1L:3305|	HSPA1L	0.470	0.470	0.470	1	0.551	.	.	.	.	.	-0.788	0.000		3305	0.551	0.551
MEPCE	gi|4506129|gn|PRPS2:5634|	PRPS2	2.275	2.275	2.275	1	2.067	.	.	.	.	.	3.133	0.000		5634	2.067	2.067
MEPCE	gi|145309309|gn|USP9X:8239|	USP9X	0.441	0.441	0.441	1	0.407	.	.	.	.	.	-0.491	0.000		8239	0.407	0.407
MEPCE	gi|21396489|gn|LONP1:9361|	LONP1	0.205	0.205	0.205	1	.	.	.	.	.	.	-0.069	0.000		9361	0	0
MEPCE	gi|16933546|gn|RPLP0:6175|	RPLP0	2.113	2.113	2.113	1	0.305	.	.	.	.	.	-1.781	0.000		6175	0.305	0.305
MEPCE	gi|39930375|gn|ENAH:55740|	ENAH	0.177	0.177	0.177	1	0.307	.	.	.	.	.	-0.150	0.000		55740	0.307	0.307
MEPCE	gi|42558250|gn|CAPRIN1:4076|	CAPRIN1	1.026	1.026	1.026	1	1.833	.	.	.	.	.	1.693	0.000		4076	1.833	1.833
MEPCE	gi|13129110|gn|WDR77:79084|	WDR77	4.936	4.936	4.936	1	2.410	.	.	.	.	.	5.611	0.000		79084	2.41	2.41
MEPCE	gi|54607072|gn|YBEY:54059|	YBEY	1.417	1.417	1.417	1	.	.	.	.	.	.	-0.473	0.000		54059	0	0
MEPCE	gi|221136939|gn|PRPF31:26121|	PRPF31	4.252	4.252	4.252	1	1.279	.	.	.	.	.	17.287	0.000		26121	1.279	1.279
MEPCE	gi|4502891|gn|CLNS1A:1207|	CLNS1A	2.883	2.883	2.883	1	2.204	.	.	.	.	.	3.648	0.000		1207	2.204	2.204
MEPCE	gi|395132450|gn|RPL13A:23521|	RPL13A	1.241	1.241	1.241	1	.	.	.	.	.	.	-0.415	0.000		23521	0	0
MEPCE	gi|4758302|gn|ERH:2079|	ERH	1.774	1.774	1.774	1	1.496	.	.	.	.	.	4.404	0.000		2079	1.496	1.496
MEPCE	gi|312433975|gn|EIF3C:8663|	EIF3C	1.029	1.029	1.029	1	7.954	.	.	.	.	.	0.496	0.000		8663	7.954	7.954
MEPCE	gi|14110414|gn|HNRNPD:3184|	HNRNPD	0.942	0.942	0.942	1	1.062	.	.	.	.	.	15.587	0.000		3184	1.062	1.062
MEPCE	gi|21327701|gn|TAF15:8148|	TAF15	0.238	0.238	0.238	1	0.284	.	.	.	.	.	-0.189	0.000		8148	0.284	0.284
MEPCE	gi|56699409|gn|RBMX:27316|	RBMX	1.229	1.229	1.229	1	1.270	.	.	.	.	.	5.149	0.000		27316	1.27	1.27
MEPCE	gi|109809739|gn|LARP7:51574|	LARP7	10.926	10.926	10.926	1	.	.	.	.	.	.	-3.650	0.000		51574	0	0
MEPCE	gi|222352151|gn|PCBP1:5093|	PCBP1	0.217	0.217	0.217	1	0.456	.	.	.	.	.	-0.276	0.000		5093	0.456	0.456
MEPCE	gi|24307939|gn|CCT5:22948|	CCT5	2.968	2.968	2.968	1	3.237	.	.	.	.	.	2.526	0.000		22948	3.237	3.237
MEPCE	gi|5032179|gn|TRIM28:10155|	TRIM28	2.365	2.365	2.365	1	2.551	.	.	.	.	.	2.526	0.000		10155	2.551	2.551
MEPCE	gi|13236559|gn|C1orf35:79169|	C1orf35	0.909	0.909	0.909	1	0.644	.	.	.	.	.	-2.062	0.000		79169	0.644	0.644
MEPCE	gi|16117787|gn|RPL34:6164|	RPL34	0.909	0.909	0.909	1	.	.	.	.	.	.	-0.304	0.000		6164	0	0
MEPCE	gi|55956788|gn|NCL:4691|	NCL	3.881	3.881	3.881	1	1.619	.	.	.	.	.	8.054	0.000		4691	1.619	1.619
MEPCE	gi|6857818|gn|NPM3:10360|	NPM3	0.518	0.518	0.518	1	.	.	.	.	.	.	-0.173	0.000		10360	0	0
MEPCE	gi|24307971|gn|STK38L:23012|	STK38L	0.915	0.915	0.915	1	1.061	.	.	.	.	.	15.440	0.000		23012	1.061	1.061
MEPCE	gi|4506411|gn|RANGAP1:5905|	RANGAP1	0.207	0.207	0.207	1	0.222	.	.	.	.	.	-0.137	0.000		5905	0.222	0.222
MEPCE	gi|91208426|gn|PRPF8:10594|	PRPF8	1.648	1.648	1.648	1	0.611	.	.	.	.	.	-3.347	0.000		10594	0.611	0.611
MEPCE	gi|187608516|gn|ACAP2:23527|	ACAP2	0.144	0.144	0.144	1	0.206	.	.	.	.	.	-0.091	0.000		23527	0.206	0.206
MEPCE	gi|4502549|gn|CALM2:805|	CALM2	0.285	0.285	0.285	1	0.344	.	.	.	.	.	-0.267	0.000		805	0.344	0.344
MEPCE	gi|313569768|gn|RPL17:6139|	RPL17	2.205	2.205	2.205	1	1.120	.	.	.	.	.	19.412	0.000		6139	1.12	1.12
MEPCE	gi|10835063|gn|NPM1:4869|	NPM1	2.784	2.784	2.784	1	0.990	.	.	.	.	.	-265.083	0.000		4869	0.99	0.99
MEPCE	gi|118582269|gn|SRSF1:6426|	SRSF1	0.592	0.592	0.592	1	0.593	.	.	.	.	.	-1.134	0.000		6426	0.593	0.593
MEPCE	gi|167234419|gn|THRAP3:9967|	THRAP3	1.291	1.291	1.291	1	0.098	.	.	.	.	.	-0.555	0.000		9967	0.098	0.098
MEPCE	gi|5454158|gn|VARS:7407|	VARS	0.599	0.599	0.599	1	0.998	.	.	.	.	.	-263.966	0.000		7407	0.998	0.998
MEPCE	gi|4506645|gn|RPL38:6169|	RPL38	4.143	4.143	4.143	1	3.663	.	.	.	.	.	3.191	0.000		6169	3.663	3.663
MEPCE	gi|14165469|gn|RPS15A:6210|	RPS15A	1.274	1.274	1.274	1	1.697	.	.	.	.	.	2.411	0.000		6210	1.697	1.697
MEPCE	gi|7661920|gn|EIF4A3:9775|	EIF4A3	0.239	0.239	0.239	1	8.973	.	.	.	.	.	0.109	0.000		9775	8.973	8.973
MEPCE	gi|5454154|gn|PPIH:10465|	PPIH	1.757	1.757	1.757	1	.	.	.	.	.	.	-0.587	0.000		10465	0	0
MEPCE	gi|15431290|gn|RPL11:6135|	RPL11	1.881	1.881	1.881	1	0.635	.	.	.	.	.	-4.143	0.000		6135	0.635	0.635
MEPCE	gi|40217847|gn|SNRNP200:23020|	SNRNP200	1.706	1.706	1.706	1	0.521	.	.	.	.	.	-2.613	0.000		23020	0.521	0.521
MEPCE	gi|11415026|gn|RPL18A:6142|	RPL18A	0.544	0.544	0.544	1	0.193	.	.	.	.	.	-0.331	0.000		6142	0.193	0.193
MEPCE	gi|148613856|gn|DDX17:10521|	DDX17	2.161	2.161	2.161	1	3.405	.	.	.	.	.	1.764	0.000		10521	3.405	3.405
MEPCE	gi|54112117|gn|SF3B1:23451|	SF3B1	0.180	0.180	0.180	1	0.302	.	.	.	.	.	-0.150	0.000		23451	0.302	0.302
MEPCE	gi|4506787|gn|IQGAP1:8826|	IQGAP1	0.634	0.634	0.634	1	0.703	.	.	.	.	.	-1.796	0.000		8826	0.703	0.703
MEPCE	gi|21361399|gn|PPP2R1A:5518|	PPP2R1A	1.135	1.135	1.135	1	1.445	.	.	.	.	.	3.086	0.000		5518	1.445	1.445
MEPCE	gi|5803225|gn|YWHAE:7531|	YWHAE	4.164	4.164	4.164	1	4.057	.	.	.	.	.	2.973	0.000		7531	4.057	4.057
MEPCE	gi|194239727|gn|EEF1D:1936|	EEF1D	1.884	1.884	1.884	1	2.037	.	.	.	.	.	2.649	0.000		1936	2.037	2.037
MEPCE	gi|5453555|gn|RAN:5901|	RAN	1.058	1.058	1.058	1	0.897	.	.	.	.	.	-9.743	0.000		5901	0.897	0.897
MEPCE	gi|15809016|gn|MYL12B:103910|	MYL12B	1.229	1.229	1.229	1	1.383	.	.	.	.	.	3.787	0.000		103910	1.383	1.383
MEPCE	gi|14165435|gn|HNRNPK:3190|	HNRNPK	4.330	4.330	4.330	1	4.267	.	.	.	.	.	2.984	0.000		3190	4.267	4.267
MEPCE	gi|5174735|gn|TUBB4B:10383|	TUBB4B	4.682	4.682	4.682	1	5.900	.	.	.	.	.	2.638	0.000		10383	5.9	5.9
MEPCE	gi|21536326|gn|HNRNPUL1:11100|	HNRNPUL1	0.545	0.545	0.545	1	0.164	.	.	.	.	.	-0.301	0.000		11100	0.164	0.164
MEPCE	gi|5031741|gn|DNAJA2:10294|	DNAJA2	0.425	0.425	0.425	1	0.716	.	.	.	.	.	-1.275	0.000		10294	0.716	0.716
MEPCE	gi|5803207|gn|U2AF1:7307|	U2AF1	1.224	1.224	1.224	1	1.301	.	.	.	.	.	4.655	0.000		7307	1.301	1.301
MEPCE	gi|12667788|gn|MYH9:4627|	MYH9	2.218	2.218	2.218	1	2.849	.	.	.	.	.	2.118	0.000		4627	2.849	2.849
MEPCE	gi|118572613|gn|SRRM2:23524|	SRRM2	0.134	0.134	0.134	1	0.544	.	.	.	.	.	-0.220	0.000		23524	0.544	0.544
MEPCE	gi|18104948|gn|RPL21:6144|	RPL21	1.240	1.240	1.240	1	.	.	.	.	.	.	-0.414	0.000		6144	0	0
MEPCE	gi|157502193|gn|PSMD13:5719|	PSMD13	0.448	0.448	0.448	1	0.811	.	.	.	.	.	-2.139	0.000		5719	0.811	0.811
MEPCE	P02769	ALB	0.760	0.760	0.760	1	0.614	.	.	.	.	.	-1.559	0.000		280717	0.614	0.614
MEPCE	gi|4506687|gn|RPS15:6209|	RPS15	1.341	1.341	1.341	1	1.188	.	.	.	.	.	7.790	0.000		6209	1.188	1.188
MEPCE	gi|4506203|gn|PSMB7:5695|	PSMB7	0.710	0.710	0.710	1	0.560	.	.	.	.	.	-1.225	0.000		5695	0.56	0.56
MEPCE	gi|115298668|gn|SNRNP40:9410|	SNRNP40	0.194	0.194	0.194	1	.	.	.	.	.	.	-0.065	0.000		9410	0	0
MEPCE	gi|13699824|gn|KIF11:3832|	KIF11	2.738	2.738	2.738	1	2.103	.	.	.	.	.	3.683	0.000		3832	2.103	2.103
MEPCE	gi|4506455|gn|RCN1:5954|	RCN1	0.144	0.144	0.144	1	.	.	.	.	.	.	-0.048	0.000		5954	0	0
MEPCE	gi|91206456|gn|FAM133B:257415|	FAM133B	1.536	1.536	1.536	1	0.434	.	.	.	.	.	-1.842	0.000		257415	0.434	0.434
MEPCE	gi|61676188|gn|HUWE1:10075|	HUWE1	0.313	0.313	0.313	1	0.269	.	.	.	.	.	-0.239	0.000		10075	0.269	0.269
MEPCE	gi|4506681|gn|RPS11:6205|	RPS11	2.609	2.609	2.609	1	2.662	.	.	.	.	.	2.665	0.000		6205	2.662	2.662
MEPCE	gi|38327625|gn|CS:1431|	CS	1.619	1.619	1.619	1	1.087	.	.	.	.	.	19.395	0.000		1431	1.087	1.087
MEPCE	gi|14043072|gn|HNRNPA2B1:3181|	HNRNPA2B1	2.963	2.963	2.963	1	3.382	.	.	.	.	.	2.432	0.000		3181	3.382	3.382
MEPCE	gi|4506127|gn|PRPS1:5631|	PRPS1	2.199	2.199	2.199	1	1.834	.	.	.	.	.	3.626	0.000		5631	1.834	1.834
MEPCE	gi|21327708|gn|NAP1L1:4673|	NAP1L1	1.135	1.135	1.135	1	1.874	.	.	.	.	.	1.806	0.000		4673	1.874	1.874
MEPCE	gi|4758256|gn|EIF2S1:1965|	EIF2S1	0.705	0.705	0.705	1	1.246	.	.	.	.	.	3.210	0.000		1965	1.246	1.246
MEPCE	gi|167466173|gn|HSPA1B:3304|	HSPA1B	3.656	3.656	3.656	1	3.737	.	.	.	.	.	2.773	0.000		3304	3.737	3.737
MEPCE	gi|33286418|gn|PKM:5315|	PKM	4.425	4.425	4.425	1	5.085	.	.	.	.	.	2.721	0.000		5315	5.085	5.085
MEPCE	gi|195927006|gn|AIFM1:9131|	AIFM1	0.379	0.379	0.379	1	.	.	.	.	.	.	-0.127	0.000		9131	0	0
MEPCE	gi|25777615|gn|PSMD7:5713|	PSMD7	0.275	0.275	0.275	1	0.706	.	.	.	.	.	-0.791	0.000		5713	0.706	0.706
MEPCE	gi|15208660|gn|TRIM21:6737|	TRIM21	1.041	1.041	1.041	1	1.146	.	.	.	.	.	7.615	0.000		6737	1.146	1.146
MEPCE	gi|5729877|gn|HSPA8:3312|	HSPA8	4.476	4.476	4.476	1	5.873	.	.	.	.	.	2.528	0.000		3312	5.873	5.873
MEPCE	gi|21626468|gn|ZNF638:27332|	ZNF638	0.512	0.512	0.512	1	0.497	.	.	.	.	.	-0.732	0.000		27332	0.497	0.497
MEPCE	gi|4506619|gn|RPL24:6152|	RPL24	1.218	1.218	1.218	1	1.149	.	.	.	.	.	8.788	0.000		6152	1.149	1.149
MEPCE	gi|4506695|gn|RPS19:6223|	RPS19	2.477	2.477	2.477	1	1.978	.	.	.	.	.	3.632	0.000		6223	1.978	1.978
MEPCE	gi|28557677|gn|PHF6:84295|	PHF6	0.345	0.345	0.345	1	0.217	.	.	.	.	.	-0.226	0.000		84295	0.217	0.217
MEPCE	gi|306482646|gn|SRSF2:6427|	SRSF2	1.534	1.534	1.534	1	1.627	.	.	.	.	.	3.153	0.000		6427	1.627	1.627
MEPCE	gi|41872631|gn|FASN:2194|	FASN	3.392	3.392	3.392	1	4.209	.	.	.	.	.	2.360	0.000		2194	4.209	4.209
MEPCE	gi|4502847|gn|CIRBP:1153|	CIRBP	1.992	1.992	1.992	1	2.136	.	.	.	.	.	2.625	0.000		1153	2.136	2.136
MEPCE	gi|15431303|gn|RPL9:6133|	RPL9	1.576	1.576	1.576	1	0.448	.	.	.	.	.	-1.963	0.000		6133	0.448	0.448
MEPCE	gi|228008291|gn|SYNCRIP:10492|	SYNCRIP	2.383	2.383	2.383	1	2.186	.	.	.	.	.	3.047	0.000		10492	2.186	2.186
MEPCE	gi|21361368|gn|ALDH18A1:5832|	ALDH18A1	0.589	0.589	0.589	1	1.018	.	.	.	.	.	32.595	0.000		5832	1.018	1.018
MEPCE	gi|7657315|gn|LSM3:27258|	LSM3	2.097	2.097	2.097	1	0.566	.	.	.	.	.	-3.684	0.000		27258	0.566	0.566
MEPCE	gi|62244004|gn|SLTM:79811|	SLTM	0.329	0.329	0.329	1	0.336	.	.	.	.	.	-0.301	0.000		79811	0.336	0.336
MEPCE	gi|19923485|gn|LUC7L3:51747|	LUC7L3	2.471	2.471	2.471	1	2.278	.	.	.	.	.	3.002	0.000		51747	2.278	2.278
MEPCE	gi|23110935|gn|PSMA1:5682|	PSMA1	0.934	0.934	0.934	1	0.790	.	.	.	.	.	-3.956	0.000		5682	0.79	0.79
MEPCE	gi|17105394|gn|RPL23A:6147|	RPL23A	1.860	1.860	1.860	1	1.406	.	.	.	.	.	5.461	0.000		6147	1.406	1.406
MEPCE	gi|56676330|gn|HP1BP3:50809|	HP1BP3	0.328	0.328	0.328	1	.	.	.	.	.	.	-0.110	0.000		50809	0	0
MEPCE	gi|4506707|gn|RPS25:6230|	RPS25	2.328	2.328	2.328	1	1.874	.	.	.	.	.	3.705	0.000		6230	1.874	1.874
MEPCE	gi|5901926|gn|NUDT21:11051|	NUDT21	0.795	0.795	0.795	1	0.601	.	.	.	.	.	-1.559	0.000		11051	0.601	0.601
MEPCE	gi|122937227|gn|U2SURP:23350|	U2SURP	0.368	0.368	0.368	1	0.264	.	.	.	.	.	-0.276	0.000		23350	0.264	0.264
MEPCE	gi|7705433|gn|EIF3L:51386|	EIF3L	0.872	0.872	0.872	1	8.253	.	.	.	.	.	0.413	0.000		51386	8.253	8.253
MEPCE	gi|41393554|gn|LUC7L:55692|	LUC7L	3.017	3.017	3.017	1	2.224	.	.	.	.	.	3.774	0.000		55692	2.224	2.224
MEPCE	gi|15718687|gn|RPS3:6188|	RPS3	5.905	5.905	5.905	1	4.906	.	.	.	.	.	3.713	0.000		6188	4.906	4.906
MEPCE	gi|119220557|gn|PAICS:10606|	PAICS	1.112	1.112	1.112	1	1.342	.	.	.	.	.	3.776	0.000		10606	1.342	1.342
MEPCE	gi|4506193|gn|PSMB1:5689|	PSMB1	0.531	0.531	0.531	1	0.905	.	.	.	.	.	-5.300	0.000		5689	0.905	0.905
MEPCE	gi|4506661|gn|RPL7A:6130|	RPL7A	1.827	1.827	1.827	1	0.162	.	.	.	.	.	-1.005	0.000		6130	0.162	0.162
MEPCE	gi|27262647|gn|ATXN2L:11273|	ATXN2L	0.064	0.064	0.064	1	1.748	.	.	.	.	.	0.114	0.000		11273	1.748	1.748
MEPCE	gi|17158044|gn|RPS6:6194|	RPS6	2.221	2.221	2.221	1	3.495	.	.	.	.	.	1.775	0.000		6194	3.495	3.495
MEPCE	gi|148747437|gn|MOB1A:55233|	MOB1A	0.369	0.369	0.369	1	0.471	.	.	.	.	.	-0.490	0.000		55233	0.471	0.471
MEPCE	P00761	P00761	11.436	11.436	11.436	1	9.362	.	.	.	.	.	5.113	0.000			9.362	9.362
MEPCE	gi|4504733|gn|IRS4:8471|	IRS4	1.213	1.213	1.213	1	1.238	.	.	.	.	.	5.687	0.000		8471	1.238	1.238
MEPCE	gi|414144872|gn|COPZ1:22818|	COPZ1	0.307	0.307	0.307	1	0.304	.	.	.	.	.	-0.258	0.000		22818	0.304	0.304
MEPCE	gi|337756501|gn|MTHFD1L:25902|	MTHFD1L	1.183	1.183	1.183	1	0.626	.	.	.	.	.	-2.529	0.000		25902	0.626	0.626
MEPCE	gi|5031973|gn|PDIA6:10130|	PDIA6	2.223	2.223	2.223	1	2.015	.	.	.	.	.	3.173	0.000		10130	2.015	2.015
MEPCE	gi|15431295|gn|RPL13:6137|	RPL13	2.649	2.649	2.649	1	0.568	.	.	.	.	.	-4.682	0.000		6137	0.568	0.568
MEPCE	gi|306482694|gn|SRSF7:6432|	SRSF7	0.447	0.447	0.447	1	0.502	.	.	.	.	.	-0.648	0.000		6432	0.502	0.502
MEPCE	gi|6005926|gn|U2AF2:11338|	U2AF2	1.758	1.758	1.758	1	1.913	.	.	.	.	.	2.711	0.000		11338	1.913	1.913
MEPCE	gi|5803137|gn|RBM3:5935|	RBM3	1.049	1.049	1.049	1	1.599	.	.	.	.	.	2.235	0.000		5935	1.599	1.599
MEPCE	gi|27436901|gn|MRPL12:6182|	MRPL12	0.812	0.812	0.812	1	0.686	.	.	.	.	.	-2.156	0.000		6182	0.686	0.686
MEPCE	gi|4503515|gn|EIF3H:8667|	EIF3H	0.390	0.390	0.390	1	6.749	.	.	.	.	.	0.204	0.000		8667	6.749	6.749
MEPCE	gi|23110942|gn|PSMA5:5686|	PSMA5	0.833	0.833	0.833	1	0.674	.	.	.	.	.	-2.109	0.000		5686	0.674	0.674
MEPCE	gi|77404397|gn|SND1:27044|	SND1	1.726	1.726	1.726	1	1.603	.	.	.	.	.	3.656	0.000		27044	1.603	1.603
MEPCE	gi|24234688|gn|HSPA9:3313|	HSPA9	2.628	2.628	2.628	1	2.983	.	.	.	.	.	2.405	0.000		3313	2.983	2.983
MEPCE	gi|114155140|gn|TPM3:7170|	TPM3	1.563	1.563	1.563	1	1.468	.	.	.	.	.	4.073	0.000		7170	1.468	1.468
MEPCE	gi|4503841|gn|XRCC6:2547|	XRCC6	4.017	4.017	4.017	1	2.489	.	.	.	.	.	4.405	0.000		2547	2.489	2.489
MEPCE	gi|4506901|gn|SRSF3:6428|	SRSF3	0.976	0.976	0.976	1	0.892	.	.	.	.	.	-8.502	0.000		6428	0.892	0.892
MEPCE	gi|4758012|gn|CLTC:1213|	CLTC	1.589	1.589	1.589	1	1.790	.	.	.	.	.	2.728	0.000		1213	1.79	1.79
MEPCE	gi|33469917|gn|MCM4:4173|	MCM4	1.149	1.149	1.149	1	0.967	.	.	.	.	.	-34.255	0.000		4173	0.967	0.967
MEPCE	gi|10645195|gn|HIST1H2AE:3012|	HIST1H2AE	0.718	0.718	0.718	1	0.262	.	.	.	.	.	-0.536	0.000		3012	0.262	0.262
MEPCE	gi|48255889|gn|PRKCSH:5589|	PRKCSH	1.104	1.104	1.104	1	0.847	.	.	.	.	.	-6.650	0.000		5589	0.847	0.847
MEPCE	gi|4504897|gn|KPNA2:3838|	KPNA2	3.863	3.863	3.863	1	0.650	.	.	.	.	.	-8.954	0.000		3838	0.65	0.65
MEPCE	gi|21361181|gn|ATP1A1:476|	ATP1A1	0.456	0.456	0.456	1	0.128	.	.	.	.	.	-0.222	0.000		476	0.128	0.128
MEPCE	gi|24307919|gn|SNRNP27:11017|	SNRNP27	1.650	1.650	1.650	1	0.833	.	.	.	.	.	-9.032	0.000		11017	0.833	0.833
MEPCE	gi|4506669|gn|RPLP1:6176|	RPLP1	0.990	0.990	0.990	1	.	.	.	.	.	.	-0.331	0.000		6176	0	0
MEPCE	gi|110347418|gn|SMC2:10592|	SMC2	0.619	0.619	0.619	1	0.643	.	.	.	.	.	-1.402	0.000		10592	0.643	0.643
MEPCE	gi|18105007|gn|CAD:790|	CAD	0.905	0.905	0.905	1	0.861	.	.	.	.	.	-6.067	0.000		790	0.861	0.861
MEPCE	gi|4502491|gn|C1QBP:708|	C1QBP	16.871	16.871	16.871	1	2.896	.	.	.	.	.	15.866	0.000		708	2.896	2.896
MEPCE	gi|21464101|gn|YWHAG:7532|	YWHAG	2.245	2.245	2.245	1	2.544	.	.	.	.	.	2.405	0.000		7532	2.544	2.544
MEPCE	gi|20070125|gn|P4HB:5034|	P4HB	0.720	0.720	0.720	1	0.524	.	.	.	.	.	-1.114	0.000		5034	0.524	0.524
MEPCE	gi|4506691|gn|RPS16:6217|	RPS16	3.123	3.123	3.123	1	2.619	.	.	.	.	.	3.244	0.000		6217	2.619	2.619
MEPCE	gi|5730023|gn|RUVBL2:10856|	RUVBL2	0.443	0.443	0.443	1	0.664	.	.	.	.	.	-1.082	0.000		10856	0.664	0.664
MEPCE	gi|226246671|gn|RPS20:6224|	RPS20	2.183	2.183	2.183	1	2.077	.	.	.	.	.	2.987	0.000		6224	2.077	2.077
MEPCE	gi|4759158|gn|SNRPD2:6633|	SNRPD2	1.754	1.754	1.754	1	1.556	.	.	.	.	.	3.969	0.000		6633	1.556	1.556
MEPCE	gi|29826335|gn|EIF2S2:8894|	EIF2S2	0.476	0.476	0.476	1	0.787	.	.	.	.	.	-1.981	0.000		8894	0.787	0.787
MEPCE	P05787	KRT8	1.589	1.589	1.589	1	1.547	.	.	.	.	.	3.640	0.000		3856	1.547	1.547
MEPCE	gi|4557809|gn|OAT:4942|	OAT	1.087	1.087	1.087	1	0.675	.	.	.	.	.	-2.760	0.000		4942	0.675	0.675
MEPCE	gi|4504445|gn|HNRNPA1:3178|	HNRNPA1	2.678	2.678	2.678	1	2.470	.	.	.	.	.	2.962	0.000		3178	2.47	2.47
MEPCE	gi|28274701|gn|ZNF511:118472|	ZNF511	1.193	1.193	1.193	1	.	.	.	.	.	.	-0.399	0.000		118472	0	0
MEPCE	gi|42716280|gn|HDLBP:3069|	HDLBP	0.283	0.283	0.283	1	0.550	.	.	.	.	.	-0.474	0.000		3069	0.55	0.55
MEPCE	gi|4506723|gn|RPS3A:6189|	RPS3A	4.250	4.250	4.250	1	3.915	.	.	.	.	.	3.114	0.000		6189	3.915	3.915
MEPCE	gi|14249158|gn|HDGFRP2:84717|	HDGFRP2	0.231	0.231	0.231	1	0.291	.	.	.	.	.	-0.187	0.000		84717	0.291	0.291
MEPCE	gi|11321601|gn|PFKP:5214|	PFKP	0.248	0.248	0.248	1	0.400	.	.	.	.	.	-0.271	0.000		5214	0.4	0.4
MEPCE	gi|7661672|gn|POLDIP2:26073|	POLDIP2	0.501	0.501	0.501	1	.	.	.	.	.	.	-0.168	0.000		26073	0	0
MEPCE	gi|178056552|gn|NCAPD2:9918|	NCAPD2	0.143	0.143	0.143	1	0.210	.	.	.	.	.	-0.091	0.000		9918	0.21	0.21
MEPCE	gi|11415030|gn|HIST1H4J:8363|	HIST1H4J	0.673	0.673	0.673	1	0.490	.	.	.	.	.	-0.944	0.000		8363	0.49	0.49
MEPCE	gi|110227589|gn|ZNF706:51123|	ZNF706	0.549	0.549	0.549	1	.	.	.	.	.	.	-0.183	0.000		51123	0	0
MEPCE	gi|14916501|gn|RPS24:6229|	RPS24	2.350	2.350	2.350	1	2.267	.	.	.	.	.	2.871	0.000		6229	2.267	2.267
MEPCE	gi|314122177|gn|CALU:813|	CALU	1.192	1.192	1.192	1	0.723	.	.	.	.	.	-3.678	0.000		813	0.723	0.723
