Bait	Prey	PreyGene	Intensity	IntensitySum	AvgIntensity	NumReplicates	ctrlIntensity	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	FoldChange	BFDR	boosted_by	PreyGeneID	ctrlIntensitySum	AvgctrlIntensity
MEPCE	gi|55749531|gn|SF3B2:10992|	SF3B2	0.763	0.763	0.763	1	0.753	.	.	.	.	.	-2.695	0.000		10992	0.753	0.753
MEPCE	gi|116089325|gn|SREK1:140890|	SREK1	0.601	0.601	0.601	1	0.657	.	.	.	.	.	-1.428	0.000		140890	0.657	0.657
MEPCE	gi|5803036|gn|HNRNPA0:10949|	HNRNPA0	1.846	1.846	1.846	1	1.066	.	.	.	.	.	28.802	0.000		10949	1.066	1.066
MEPCE	gi|5031981|gn|PSMD14:10213|	PSMD14	0.450	0.450	0.450	1	0.859	.	.	.	.	.	-2.953	0.000		10213	0.859	0.859
MEPCE	gi|4506649|gn|RPL3:6122|	RPL3	2.180	2.180	2.180	1	.	.	.	.	.	.	-0.728	0.000		6122	0	0
MEPCE	gi|426214088|gn|RCN2:5955|	RCN2	1.135	1.135	1.135	1	0.982	.	.	.	.	.	-63.705	0.000		5955	0.982	0.982
MEPCE	gi|33469968|gn|MCM7:4176|	MCM7	0.655	0.655	0.655	1	0.699	.	.	.	.	.	-1.826	0.000		4176	0.699	0.699
MEPCE	gi|94536840|gn|TMCO6:55374|	TMCO6	0.611	0.611	0.611	1	.	.	.	.	.	.	-0.204	0.000		55374	0	0
MEPCE	gi|29029559|gn|CSE1L:1434|	CSE1L	0.154	0.154	0.154	1	0.566	.	.	.	.	.	-0.271	0.000		1434	0.566	0.566
MEPCE	gi|217330646|gn|SUB1:10923|	SUB1	5.440	5.440	5.440	1	4.126	.	.	.	.	.	3.838	0.000		10923	4.126	4.126
MEPCE	gi|48526509|gn|TIMM50:92609|	TIMM50	0.275	0.275	0.275	1	.	.	.	.	.	.	-0.092	0.000		92609	0	0
MEPCE	gi|148839362|gn|LSM14B:149986|	LSM14B	0.321	0.321	0.321	1	.	.	.	.	.	.	-0.107	0.000		149986	0	0
MEPCE	gi|119226260|gn|CHERP:10523|	CHERP	0.148	0.148	0.148	1	0.147	.	.	.	.	.	-0.077	0.000		10523	0.147	0.147
MEPCE	gi|4506711|gn|RPS27:6232|	RPS27	0.924	0.924	0.924	1	1.098	.	.	.	.	.	9.841	0.000		6232	1.098	1.098
MEPCE	gi|38202257|gn|GANAB:23193|	GANAB	1.694	1.694	1.694	1	1.452	.	.	.	.	.	4.539	0.000		23193	1.452	1.452
MEPCE	gi|219555707|gn|EIF5A:1984|	EIF5A	0.569	0.569	0.569	1	0.519	.	.	.	.	.	-0.867	0.000		1984	0.519	0.519
MEPCE	gi|14210536|gn|TUBB6:84617|	TUBB6	1.108	1.108	1.108	1	2.138	.	.	.	.	.	1.457	0.000		84617	2.138	2.138
MEPCE	gi|38146107|gn|RSRC2:65117|	RSRC2	0.228	0.228	0.228	1	0.228	.	.	.	.	.	-0.154	0.000		65117	0.228	0.228
MEPCE	gi|4506181|gn|PSMA2:5683|	PSMA2	0.770	0.770	0.770	1	0.681	.	.	.	.	.	-2.004	0.000		5683	0.681	0.681
MEPCE	gi|217416381|gn|COPRS:55352|	COPRS	1.002	1.002	1.002	1	0.768	.	.	.	.	.	-3.789	0.000		55352	0.768	0.768
MEPCE	gi|4506201|gn|PSMB5:5693|	PSMB5	1.072	1.072	1.072	1	1.085	.	.	.	.	.	13.156	0.000		5693	1.085	1.085
MEPCE	gi|156523968|gn|PARP1:142|	PARP1	0.952	0.952	0.952	1	0.529	.	.	.	.	.	-1.493	0.000		142	0.529	0.529
MEPCE	gi|20127499|gn|SRSF6:6431|	SRSF6	0.412	0.412	0.412	1	0.509	.	.	.	.	.	-0.610	0.000		6431	0.509	0.509
MEPCE	gi|4759224|gn|PDCD5:9141|	PDCD5	0.895	0.895	0.895	1	1.120	.	.	.	.	.	7.875	0.000		9141	1.12	1.12
MEPCE	gi|289577080|gn|EIF4G2:1982|	EIF4G2	0.157	0.157	0.157	1	7.987	.	.	.	.	.	0.076	0.000		1982	7.987	7.987
MEPCE	gi|23110925|gn|PSMB6:5694|	PSMB6	1.253	1.253	1.253	1	1.216	.	.	.	.	.	6.417	0.000		5694	1.216	1.216
MEPCE	gi|4506625|gn|RPL27A:6157|	RPL27A	2.025	2.025	2.025	1	1.191	.	.	.	.	.	11.576	0.000		6157	1.191	1.191
MEPCE	gi|19923193|gn|ST13:6767|	ST13	1.166	1.166	1.166	1	1.644	.	.	.	.	.	2.347	0.000		6767	1.644	1.644
